1252444626079952896,BernishaRynia,"Quarantine got me staying up late af...and not being able to get up in the morning.
Daylight savings hit. The tornado hit. Then the coronavirius, we been fcked up",2020-04-21 03:50:42,United States
1252444626604056576,mohanarao_123,"@KChiruTweets

Respected sir 
I have directed 2 mins short film in this quarantine time on ""AMMA"". I hope you like this ""AMMA"" short film. Please watch in ur free time and give ur valuable words sir.

https://t.co/ElzDcYglCv",2020-04-21 03:50:42,India
1252444672175345665,glantonj,Virtual courtrooms could be the new normal amid coronavirus pandemic https://t.co/DGlJO0XjCR @dwidefend4u #criminaldefenselawyer #criminaldefense #dallas,2020-04-21 03:50:53,United States
1252444706065330177,Aztmyy_3,"I truly want this quarantine to keep happening for the whole month of May, so that the virus can truly slow down.. I have faith that by June or end of June we will be in a much better situation 🙏🏽",2020-04-21 03:51:01,United States
1252444722695753730,wajidhussain177,"#Ajmer Doctors doing blind child's coronavirus test #Covid19India #IndiaFightsCoronavirus #India @BBCHindi @timesofindia @ANI 
@TimesNow @NewsMobileIndia https://t.co/ZnDnPTsQtG",2020-04-21 03:51:05,India
1252444765356003330,nizaworks,"We are proud to have served our community over the past years and are reaching out for your help. 
Covid-19 has greatly affected us, like many other small businesses. 
We have created a GoFundMe page to help keep… https://t.co/1LIdHl65Sw",2020-04-21 03:51:16,United States
1252444792019173378,JewlzBrown,"Covid-19 Quarantine Day #34... Monday's used 2 be ""Throwback Monday's"", and I would wear an Old School Tee! RAWKING the 93.5/Weaving the Fate T and doing some Carolina Rebellion Tunes from the FIRST 2 Shows!!! So...… https://t.co/MBxkhBoNDI",2020-04-21 03:51:22,United States
1252445050396696576,goodhorsekeeper,"If the government wants u to stay home for #CoronavirusOutbreak and u want to go back to work , I would demand they pay us to stay home.  We didn’t bring this #plague here. It’s not our fault. They knew it was coming",2020-04-21 03:52:23,United States
1252445085108559873,oIivert,"You may have heard that Singapore was the gold standard for handling their Coronavirus cases and they were, but look at what's happened in just the past two weeks.

A 6x increase in the past two weeks, 20%+ day/day. https://t.co/NArMgPamtc",2020-04-21 03:52:32,United States
1252445153308151809,CRUMMIEBEATS,#crummiebeats #nonessential #beats #datingmemes #quarantineandchill #fuckery #hiphophead #art #draw #cartoonnetwork @ The Chrysler Museum of Art https://t.co/yeWEPltWd5,2020-04-21 03:52:48,United States
1252445182576021504,niccib28,"So many sirens.
.
.
#somanysirens #sirens #ambo #quarantine #covid19 #coronavirus #emergency #ambulance #iso #outsidemywindow #badvideo @ Ditmas Park, Brooklyn https://t.co/uKdr3cFVre",2020-04-21 03:52:55,United States
1252445206407938048,VirallyAds,"I challenge you to #SaveTheWorld❤ from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields #Bottles2Shields  Spanish https://t.co/Dzh14jOsuB  #BillionShieldsChallenge , https://t.co/sb2pYRwJWq",2020-04-21 03:53:01,United States
1252445225332678657,caroeclem,Quarantine is: 30 min phone call to decide if we want to do the 8 am or the 5:30 pm zoom workout. It’s sad that 8 AM is deemed “too early” these days... can’t remember the last time I woke up before 8 smh 🤦🏼‍♀️ #QuarantineChronicles,2020-04-21 03:53:05,United States
1252445280164864001,AngelaJacobsTV,"On @WFTV Amid pollution &amp; asthma cases, activists see no coincidence in high #coronavirus infection rates of Orlando’s Parramore neighborhood #wftv https://t.co/AjokPVYlJz",2020-04-21 03:53:18,United States
1252445295046254592,VirallyAds,"I challenge you to ❤#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge , https://t.co/LlCoOcXCCY",2020-04-21 03:53:22,United States
1252445301912121344,WARRIORF150,"If you said, ""TRUMP ISN'T MY PRESIDENT"" and still cashed in your $1200+ COVID-19 stimulus check then STFU and accept that he is your President. If not then, fucking return that shit and/or show yourself actually donating that money to a good cause on behalf of President Trump",2020-04-21 03:53:23,United States
